113092   48928000     69.875      60.875      68.250    
123192   87287000     68.875      48.750      50.375    
 12993   77798000     53.250      45.875      51.500    
 22693   48935000     54.875      48.750      54.375    
 33193   52301000     57.125      49.875      50.875    
 43093   41227000     53.125      47.375      48.625    
 53193   37819900     54          47.125      52.750    
 63093   36482300     54.375      48.500      49.375    
 73093   51549000     49.750      41.125      44.500    
 83193   35179600     45.875      40.625      45.750    
 93093   35929000     46.375      41.250      42        
  Date   Volumne      High        Low         Close
n=151, Monthly IBM Stock Prices, Closing Prices.
